Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E
CRUK0008_SU_T1-R2	3.58E+00	1.64E+00	2.70E+00	3.98E+00	9.66E-01
CRUK0009_SU_T1-R1	3.68E+01	6.96E+00	3.48E+01	1.15E+01	1.71E+00
CRUK0009_SU_T1-R2	1.44E+01	2.89E+00	1.41E+01	6.20E+00	9.64E-01
CRUK0009_SU_T1-R3	5.16E+00	1.94E+00	4.47E+00	2.58E+00	5.55E-01
CRUK0009_SU_T1-R4	1.45E+01	2.98E+00	1.29E+01	5.18E+00	9.32E-01
CRUK0010_SU_T1-R1	2.71E+01	4.16E+00	2.55E+01	9.92E+00	1.51E+00
CRUK0010_SU_T1-R2	8.95E+00	2.19E+00	8.64E+00	4.24E+00	1.69E+00
CRUK0011_SU_T1-R1	1.87E+00	1.69E+00	1.33E+00	1.59E+00	4.88E-01
CRUK0011_SU_T1-R2	2.17E+00	2.04E+00	1.89E+00	2.36E+00	5.33E-01
CRUK0011_SU_T1-R3	2.41E+00	1.23E+00	2.37E+00	1.85E+00	1.05E+00
CRUK0012_SU_T1-R1	2.69E+00	1.13E+00	2.51E+00	1.25E+00	1.00E-02
CRUK0012_SU_T1-R2	1.58E+00	4.96E-01	1.61E+00	9.69E-01	1.47E-01
CRUK0013_SU_T1-R1	4.47E+00	1.83E+00	4.56E+00	2.36E+00	1.46E+00
CRUK0013_SU_T1-R2	4.32E+00	1.61E+00	4.31E+00	2.60E+00	1.33E+00
CRUK0013_SU_T1-R3	1.62E+01	4.01E+00	1.49E+01	5.99E+00	1.03E+00
